species,margin1,margin2,margin3,margin4,margin5,margin6,margin7,margin8,margin9,margin10,margin11,margin12,margin13,margin14,margin15,margin16,margin17,margin18,margin19,margin20,margin21,margin22,margin23,margin24,margin25,margin26,margin27,margin28,margin29,margin30,margin31,margin32,margin33,margin34,margin35,margin36,margin37,margin38,margin39,margin40,margin41,margin42,margin43,margin44,margin45,margin46,margin47,margin48,margin49,margin50,margin51,margin52,margin53,margin54,margin55,margin56,margin57,margin58,margin59,margin60,margin61,margin62,margin63,margin64,shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,shape9,shape10,shape11,shape12,shape13,shape14,shape15,shape16,shape17,shape18,shape19,shape20,shape21,shape22,shape23,shape24,shape25,shape26,shape27,shape28,shape29,shape30,shape31,shape32,shape33,shape34,shape35,shape36,shape37,shape38,shape39,shape40,shape41,shape42,shape43,shape44,shape45,shape46,shape47,shape48,shape49,shape50,shape51,shape52,shape53,shape54,shape55,shape56,shape57,shape58,shape59,shape60,shape61,shape62,shape63,shape64,texture1,texture2,texture3,texture4,texture5,texture6,texture7,texture8,texture9,texture10,texture11,texture12,texture13,texture14,texture15,texture16,texture17,texture18,texture19,texture20,texture21,texture22,texture23,texture24,texture25,texture26,texture27,texture28,texture29,texture30,texture31,texture32,texture33,texture34,texture35,texture36,texture37,texture38,texture39,texture40,texture41,texture42,texture43,texture44,texture45,texture46,texture47,texture48,texture49,texture50,texture51,texture52,texture53,texture54,texture55,texture56,texture57,texture58,texture59,texture60,texture61,texture62,texture63,texture64
Acer_Capillipes,0.001953,0,0.017578,0.001953,0.054688,0.001953,0.019531,0,0.009766,0.009766,0,0.03125,0,0.003906,0.041016,0,0.007812,0,0.003906,0.005859,0.041016,0.023438,0,0.009766,0.011719,0.041016,0.007812,0.017578,0,0.033203,0.033203,0.007812,0.011719,0.005859,0.001953,0.005859,0.003906,0.035156,0.041016,0.017578,0.015625,0,0.011719,0.042969,0,0.035156,0.048828,0.066406,0.011719,0.023438,0.005859,0.001953,0.046875,0.017578,0.046875,0.021484,0.009766,0.001953,0.009766,0.009766,0,0.003906,0.007812,0,0.00060131,0.0006253,0.00062085,0.00063045,0.00061604,0.00058572,0.00055354,0.00053492,0.00051901,0.00050998,0.00049178,0.00047372,0.00047456,0.00046607,0.00041912,0.00042911,0.00046087,0.00046076,0.00045571,0.00050896,0.00051275,0.00056187,0.00059368,0.00062802,0.00067354,0.00070926,0.00075865,0.00082228,0.00089014,0.00096092,0.0010124,0.00093893,0.00086757,0.00080279,0.00075309,0.0007067,0.00066455,0.00062416,0.00059236,0.00056372,0.0005193,0.00051566,0.00047395,0.00045418,0.000446,0.00043032,0.00042179,0.00044871,0.00046496,0.00047657,0.00049824,0.00050288,0.00052401,0.00054161,0.00055335,0.00056772,0.00060657,0.00063558,0.0006319,0.00063722,0.00065142,0.00063145,0.00058382,0.00064245,0.005859,0.036133,0.021484,0,0.048828,0.008789,0.009766,0.076172,0.041992,0.000977,0,0.001953,0.015625,0.017578,0,0.001953,0.03125,0.000977,0.004883,0.040039,0,0.001953,0.037109,0.001953,0.001953,0,0.005859,0.007812,0.057617,0.021484,0.040039,0,0,0.036133,0.022461,0,0,0.023438,0.00293,0.003906,0,0.003906,0.004883,0.035156,0.020508,0.06543,0.027344,0.02832,0.006836,0.050781,0,0,0,0.004883,0.037109,0,0.011719,0,0.019531,0,0,0,0.029297,0.025391
Acer_Circinatum,0,0,0,0.021484,0.035156,0,0.007812,0,0.003906,0.001953,0,0.025391,0,0.023438,0.037109,0,0.015625,0.001953,0.017578,0.003906,0.003906,0.011719,0.015625,0.041016,0.023438,0.015625,0.03125,0.03125,0.001953,0.009766,0.033203,0.066406,0.013672,0,0,0.007812,0,0.013672,0.03125,0.025391,0.033203,0.001953,0.046875,0.011719,0.003906,0.021484,0.009766,0.03125,0.027344,0.001953,0,0.015625,0.060547,0.023438,0.013672,0.001953,0.001953,0.005859,0.005859,0.037109,0,0.048828,0,0.023438,0.00069753,0.00073194,0.00073198,0.00072602,0.00070037,0.00068112,0.00066346,0.00064362,0.00063291,0.00062855,0.00062316,0.00061761,0.00066926,0.00068996,0.00061153,0.00063732,0.00066546,0.00069121,0.00069773,0.00068624,0.00071348,0.00074101,0.00077653,0.00078175,0.00078546,0.00076588,0.0006899,0.00066332,0.00068966,0.00071154,0.00073803,0.00073956,0.00074575,0.00077403,0.00071116,0.00063563,0.00055905,0.00048661,0.00053934,0.0006052,0.00066096,0.00068924,0.00073659,0.00079625,0.00079756,0.00074341,0.00070783,0.00065944,0.00064343,0.00058683,0.00052828,0.00048831,0.00052239,0.00060024,0.00067419,0.00074322,0.00079514,0.00078499,0.00078936,0.00077978,0.00078812,0.00076709,0.00073069,0.00069577,0.037109,0.000977,0.000977,0.000977,0.064453,0,0.03418,0.035156,0.000977,0.004883,0.015625,0.056641,0,0,0,0,0.000977,0,0.023438,0.00293,0,0.000977,0.015625,0,0.000977,0.00293,0.005859,0,0.067383,0,0.092773,0,0.000977,0.068359,0,0,0,0.0625,0.011719,0.009766,0,0,0.004883,0.012695,0.008789,0.030273,0.032227,0.037109,0,0.019531,0,0,0.001953,0.0625,0.14941,0,0.00293,0.00293,0.001953,0,0,0.001953,0,0.011719
Acer_Mono,0.029297,0.029297,0.029297,0.021484,0,0.060547,0.021484,0,0,0.033203,0.023438,0.001953,0.025391,0,0.003906,0,0.042969,0.044922,0.03125,0.025391,0.007812,0,0,0.005859,0.001953,0.027344,0.005859,0.011719,0.046875,0.019531,0.003906,0,0.054688,0,0.013672,0.03125,0.025391,0.009766,0.009766,0,0,0.013672,0.013672,0.003906,0.050781,0.001953,0.007812,0.015625,0,0.015625,0.013672,0.007812,0.027344,0,0.013672,0,0.021484,0.029297,0.03125,0.001953,0,0,0.03125,0,0.00064956,0.00057946,0.00051284,0.00045743,0.00040081,0.00038204,0.0004483,0.00051856,0.00059365,0.00057489,0.00049817,0.00042974,0.00035657,0.00028321,0.00022182,0.00020809,0.00027606,0.00025875,0.00018935,0.00019575,0.00026237,0.00032701,0.00039127,0.000469,0.00055566,0.00057312,0.00050885,0.00044413,0.00037864,0.00038493,0.00043788,0.00048754,0.00054866,0.00062006,0.00064025,0.00057129,0.00050226,0.00043856,0.00037107,0.000305,0.00023587,0.00017583,0.00020125,0.00025571,0.00031043,0.00037475,0.00043562,0.00050003,0.00056705,0.00058909,0.00052189,0.00045539,0.00039479,0.00033615,0.00028243,0.00023059,0.00018482,0.00017124,0.00024356,0.00031729,0.00038504,0.00045335,0.00052186,0.00059039,0.00293,0.011719,0.007812,0.017578,0.032227,0,0.001953,0.018555,0.009766,0.009766,0.008789,0.02832,0,0,0,0,0.010742,0.00293,0.000977,0.012695,0,0.006836,0.004883,0.000977,0.005859,0.00293,0.045898,0.006836,0.011719,0.000977,0.007812,0,0.036133,0.015625,0.003906,0,0.014648,0.019531,0.012695,0.003906,0.13379,0,0.044922,0.15918,0.012695,0.015625,0.018555,0.024414,0.000977,0.012695,0.005859,0,0.022461,0.000977,0.094727,0,0.013672,0.022461,0.018555,0,0,0.003906,0,0.016602
Acer_Opalus,0.007812,0.003906,0.033203,0.003906,0.007812,0.021484,0.052734,0,0,0.029297,0.009766,0.015625,0.029297,0,0.025391,0,0.019531,0.017578,0.005859,0.013672,0.021484,0.003906,0,0.015625,0,0.027344,0,0.015625,0.029297,0.019531,0.009766,0.001953,0.013672,0.003906,0.009766,0.041016,0.009766,0.033203,0.023438,0.009766,0.003906,0.019531,0.025391,0.015625,0.009766,0.013672,0.041016,0.044922,0,0.023438,0.023438,0,0.058594,0.013672,0.042969,0.001953,0.011719,0.007812,0.013672,0.001953,0,0.003906,0.033203,0.003906,0.00054309,0.0005322,0.00051975,0.00050989,0.00050013,0.00048061,0.00047184,0.00045965,0.00043801,0.00041433,0.00040051,0.00038963,0.00037293,0.00036896,0.00037033,0.00036025,0.00036575,0.00038864,0.00039471,0.00040256,0.00041895,0.00044705,0.00047091,0.0004842,0.00050674,0.00054707,0.00057405,0.00061646,0.00065568,0.00071369,0.00069088,0.00063296,0.00059634,0.00056831,0.00054885,0.00051808,0.00051001,0.00047063,0.00047377,0.0004628,0.00045581,0.00043787,0.000416,0.00041146,0.00039657,0.00039702,0.00039013,0.00039633,0.0003912,0.0004058,0.00041842,0.00041529,0.00041686,0.00044118,0.00045687,0.00046623,0.00047422,0.00047046,0.00046594,0.00049579,0.00053363,0.00051569,0.00053176,0.00054054,0.099609,0.013672,0.005859,0.001953,0,0,0.058594,0.020508,0.041016,0.009766,0.004883,0,0.003906,0.044922,0,0,0.010742,0,0.042969,0.025391,0,0.010742,0.013672,0,0.004883,0.001953,0.011719,0,0.054688,0.013672,0.060547,0,0.000977,0.041016,0.009766,0,0,0.033203,0.033203,0.056641,0,0,0.015625,0.007812,0.017578,0.006836,0.046875,0,0.010742,0.038086,0,0,0.00293,0.067383,0,0,0.008789,0,0.022461,0,0,0,0.000977,0.023438
Acer_Palmatum,0,0,0.001953,0.029297,0.11133,0,0,0,0.029297,0,0,0,0,0.023438,0.001953,0,0.005859,0,0.11719,0.003906,0,0,0.019531,0.017578,0.011719,0.011719,0.015625,0.041016,0,0.009766,0.035156,0.050781,0,0.003906,0,0,0.003906,0.001953,0.003906,0.007812,0.17969,0.007812,0,0.021484,0,0.029297,0.001953,0,0.054688,0,0,0.009766,0.009766,0.035156,0,0,0,0.007812,0.005859,0.060547,0.003906,0.007812,0.001953,0.003906,0.0011448,0.0010666,0.00099556,0.00092949,0.00087691,0.00084537,0.00081038,0.00078007,0.00076342,0.00074886,0.00073552,0.00072681,0.00071813,0.0007155,0.00071266,0.00070683,0.00069732,0.00069564,0.0006992,0.00070635,0.0007099,0.000721,0.00072663,0.00073689,0.0007597,0.00078228,0.00079956,0.0008285,0.00085514,0.00088472,0.00091699,0.00094766,0.0009681,0.00096525,0.0009356,0.00089393,0.00085251,0.00081467,0.0007849,0.00076042,0.00074401,0.00072258,0.00070355,0.00068658,0.0006727,0.00066767,0.00066309,0.00066297,0.00067193,0.00067734,0.00069616,0.00071134,0.00073405,0.00075179,0.00077728,0.00079007,0.00080324,0.00083197,0.00085598,0.00087554,0.0009023,0.00094291,0.0010191,0.0010989,0.003906,0,0.007812,0,0.13281,0,0.000977,0.026367,0,0,0,0.37793,0,0,0,0,0,0,0.000977,0.001953,0,0,0.068359,0,0.001953,0,0.000977,0.017578,0.004883,0,0.037109,0,0,0.008789,0,0,0,0.055664,0.003906,0,0,0,0,0,0.039062,0.051758,0.007812,0.037109,0,0,0,0,0,0.000977,0.012695,0,0.079102,0,0,0,0,0,0,0.019531
Acer_Pictum,0,0.003906,0.013672,0.072266,0.015625,0,0.001953,0,0.023438,0.005859,0.044922,0,0.041016,0.011719,0,0,0.011719,0.050781,0.03125,0.017578,0.013672,0.001953,0,0.001953,0.003906,0.017578,0,0.009766,0.060547,0.003906,0,0,0.027344,0,0,0.025391,0.001953,0.019531,0,0,0.003906,0.042969,0.001953,0.001953,0.10938,0.007812,0.009766,0,0.001953,0.019531,0.013672,0.001953,0.019531,0.001953,0.001953,0,0.005859,0.060547,0.099609,0.041016,0.005859,0.001953,0.005859,0.007812,0.00068274,0.00070843,0.00072881,0.00077026,0.00075597,0.00068786,0.0006507,0.00068602,0.00065093,0.00067686,0.00068126,0.00062485,0.00061235,0.00067032,0.00067218,0.00068577,0.00072951,0.00079657,0.00086461,0.0008389,0.00078039,0.00072682,0.00068221,0.0006631,0.00069277,0.00071064,0.00067494,0.00066376,0.00065874,0.00069432,0.0007393,0.0006926,0.00067239,0.00069185,0.00073246,0.00068269,0.00065998,0.00069937,0.00066308,0.00064038,0.00066679,0.00071461,0.00071299,0.0006944,0.00072764,0.00071153,0.00072353,0.00075509,0.00082936,0.00085978,0.00078481,0.00072981,0.0007275,0.00071557,0.00071264,0.00068984,0.00067997,0.00070172,0.00071407,0.00065647,0.0006558,0.00068869,0.0007277,0.0006772,0,0.013672,0.021484,0.001953,0.091797,0,0,0.068359,0.014648,0,0,0.052734,0.000977,0.020508,0,0,0.016602,0.008789,0.005859,0.024414,0,0.007812,0.042969,0,0.008789,0,0.019531,0.015625,0.006836,0.004883,0.005859,0,0,0.018555,0.003906,0,0,0.020508,0.000977,0.001953,0.001953,0.00293,0.003906,0.061523,0.036133,0.048828,0.008789,0.067383,0.005859,0.005859,0,0,0,0,0.18066,0,0.050781,0,0.005859,0,0,0,0,0.019531
Acer_Platanoids,0.011719,0.013672,0.048828,0.037109,0.005859,0.060547,0,0,0.037109,0.003906,0.003906,0.009766,0.078125,0.021484,0.003906,0,0.003906,0.005859,0.015625,0.003906,0.015625,0.007812,0.005859,0.009766,0.009766,0.003906,0.005859,0.017578,0.12109,0.007812,0.003906,0,0.003906,0,0.003906,0.017578,0.013672,0.027344,0,0.001953,0,0.017578,0.017578,0.003906,0.052734,0.001953,0.023438,0.001953,0,0.011719,0.048828,0.003906,0.005859,0.007812,0,0,0.007812,0.023438,0.052734,0.03125,0.001953,0.003906,0.027344,0.011719,0.0008412,0.0007945,0.00074654,0.00069983,0.00065339,0.00060722,0.00056104,0.00051388,0.00046836,0.00042284,0.00037773,0.00033203,0.00028725,0.00024328,0.00020067,0.0001605,0.0001243,9.8236E-05,9.0854E-05,0.00010511,0.00013587,0.00017323,0.00021387,0.00025671,0.00030082,0.00034689,0.00039209,0.00043771,0.00048336,0.00052932,0.00057615,0.00062112,0.00063236,0.00059415,0.00054879,0.00050404,0.00045892,0.00041339,0.00036823,0.00032169,0.00027643,0.00023283,0.0001908,0.00014924,0.0001129,8.7458E-05,8.3563E-05,0.00010456,0.00013994,0.00018022,0.00022276,0.00026683,0.00031202,0.00035845,0.00040431,0.00045028,0.00049627,0.00054363,0.00058998,0.00063651,0.00068331,0.00072912,0.00077735,0.00082427,0.012695,0,0.011719,0.010742,0.068359,0,0.016602,0.041016,0,0.00293,0.030273,0.024414,0,0,0,0,0,0,0.011719,0.019531,0,0.035156,0.004883,0.00293,0.001953,0.009766,0.010742,0.003906,0.026367,0,0.017578,0.052734,0.00293,0.048828,0.001953,0,0.004883,0.027344,0.009766,0.012695,0.001953,0,0.003906,0.020508,0.00293,0.043945,0.022461,0.041992,0.001953,0.020508,0.047852,0,0.005859,0.015625,0.12695,0.043945,0.003906,0.005859,0.02832,0,0,0.017578,0,0.019531
Acer_Rubrum,0,0.001953,0.015625,0.005859,0.033203,0.007812,0.005859,0,0.025391,0,0.003906,0.048828,0.001953,0.003906,0.050781,0,0.003906,0,0.007812,0,0.039062,0.025391,0.001953,0.03125,0.025391,0.009766,0.007812,0.017578,0,0.009766,0.046875,0.021484,0.007812,0.001953,0,0,0.003906,0.025391,0.035156,0.033203,0.021484,0.007812,0.039062,0.019531,0.001953,0.033203,0.042969,0.064453,0.019531,0.037109,0.001953,0.001953,0.017578,0.039062,0.017578,0.029297,0.001953,0.005859,0.007812,0.007812,0,0.009766,0.003906,0.007812,0.00094745,0.0010086,0.00098353,0.00091919,0.00085713,0.00079851,0.00073376,0.00067662,0.00062203,0.00056637,0.00051615,0.00046914,0.00041748,0.00037075,0.00032962,0.00029276,0.00027203,0.00026094,0.00025798,0.00026895,0.00028747,0.00031939,0.00035806,0.00040555,0.00045333,0.00050751,0.00056035,0.00061169,0.00066302,0.00071797,0.00077491,0.00082901,0.00089396,0.00086085,0.00080181,0.00074418,0.00068992,0.00063413,0.00058533,0.0005352,0.0004877,0.0004466,0.00041128,0.00036946,0.00034114,0.00031104,0.0002981,0.00028928,0.00028857,0.0002934,0.00031798,0.00035555,0.00039174,0.00042438,0.00046738,0.00051095,0.00054682,0.00059492,0.00063615,0.0006828,0.00073189,0.00078455,0.00083001,0.00088564,0,0,0,0.047852,0,0,0,0,0,0.094727,0.024414,0,0,0,0,0,0,0,0.054688,0,0,0,0,0.006836,0.001953,0.058594,0.014648,0,0.001953,0,0.000977,0,0.33203,0,0.000977,0,0.11035,0.00293,0.010742,0.018555,0.082031,0,0.010742,0.000977,0.001953,0.000977,0.00293,0,0,0.005859,0,0,0.043945,0.022461,0.001953,0,0.00293,0,0,0,0,0.039062,0,0.001953
Acer_Rufinerve,0,0,0.009766,0.021484,0.058594,0,0.009766,0,0.011719,0,0,0.025391,0,0.005859,0.050781,0,0.001953,0,0.013672,0.007812,0.044922,0.009766,0,0.003906,0.017578,0.023438,0.003906,0.041016,0.001953,0.027344,0.041016,0.033203,0.003906,0.005859,0,0,0.005859,0.052734,0.033203,0.023438,0.017578,0.005859,0.017578,0.050781,0,0.042969,0.0625,0.046875,0.023438,0.009766,0,0.001953,0.023438,0.029297,0.019531,0.015625,0.003906,0.003906,0.009766,0.013672,0.005859,0.003906,0.001953,0,0.00082358,0.00078794,0.00072472,0.0006744,0.00066146,0.00063046,0.00064748,0.00059279,0.00062596,0.00061869,0.00061161,0.00059636,0.00055468,0.00051393,0.00049121,0.00048052,0.00046709,0.00045813,0.00045901,0.00047364,0.00047642,0.00049143,0.00050344,0.00051461,0.0005395,0.00056539,0.00058833,0.00061152,0.00062962,0.00065089,0.00067325,0.00074052,0.00081293,0.00077456,0.00070326,0.00068462,0.00065048,0.00061733,0.00058494,0.00055726,0.00053197,0.00050831,0.00049253,0.00048014,0.0004657,0.00046154,0.00045334,0.0004577,0.00047896,0.00048269,0.00049664,0.00052359,0.00054279,0.00058062,0.00059928,0.0006432,0.00064636,0.00065698,0.00069759,0.0006782,0.00069032,0.00070558,0.00072105,0.00078736,0.007812,0,0.007812,0.011719,0.063477,0,0.015625,0.023438,0.003906,0.008789,0.042969,0.082031,0,0.007812,0.001953,0,0,0,0.042969,0.012695,0,0.008789,0,0.00293,0.001953,0.035156,0.006836,0,0.004883,0.004883,0.004883,0.037109,0.003906,0.035156,0.007812,0,0.004883,0.024414,0.012695,0.018555,0.001953,0.000977,0.006836,0.007812,0.000977,0.013672,0.015625,0.051758,0.006836,0.001953,0.041016,0.009766,0.013672,0.040039,0.12305,0.049805,0.000977,0.005859,0.008789,0,0,0.041016,0,0.009766
Acer_Saccharinum,0,0,0.007812,0.03125,0.03125,0,0,0,0.035156,0,0,0.013672,0,0.058594,0.011719,0,0,0,0.021484,0.001953,0.021484,0.033203,0.003906,0.019531,0.033203,0.007812,0.041016,0.029297,0,0.005859,0.03125,0.044922,0,0.013672,0,0,0.003906,0.019531,0.007812,0.011719,0.050781,0.001953,0.011719,0.013672,0.001953,0.019531,0.039062,0.005859,0.068359,0.046875,0,0.017578,0.005859,0.044922,0,0.011719,0,0.001953,0.023438,0.033203,0.005859,0.027344,0,0.027344,0.0008335,0.00085017,0.00086943,0.00087962,0.00088537,0.0008863,0.00089071,0.00088581,0.00088907,0.00088832,0.00087025,0.00083773,0.00079612,0.00075243,0.00068242,0.00063702,0.00070968,0.00065087,0.00060968,0.00069128,0.00075589,0.00079505,0.00082121,0.00084461,0.00085257,0.00085631,0.00086442,0.00087765,0.00088115,0.00088024,0.00086889,0.00086079,0.00085511,0.00084544,0.0008265,0.00081433,0.00080959,0.00080855,0.00080407,0.00080462,0.00080086,0.0008016,0.00080368,0.00081293,0.00080956,0.00083053,0.00084986,0.00086976,0.00087715,0.00087123,0.00085244,0.00083296,0.00080997,0.0007852,0.00077834,0.00077884,0.00078746,0.00079421,0.00079454,0.000804,0.00081051,0.00081783,0.00081711,0.00082777,0,0.078125,0.042969,0,0.038086,0.022461,0.004883,0.080078,0.035156,0,0,0,0.019531,0,0,0,0.13867,0.017578,0,0.076172,0,0,0.041992,0,0,0,0.000977,0.040039,0.006836,0.02832,0.010742,0,0,0.016602,0.025391,0,0,0.050781,0,0,0,0,0,0,0.027344,0.05957,0.018555,0.007812,0.003906,0.000977,0,0,0,0.000977,0.011719,0,0.06543,0,0.021484,0,0,0,0,0.006836
